username,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,110000
angular,angular,https://github.com/angular/angular,95200
storybookjs,storybook,https://github.com/storybookjs/storybook,83400
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,62600
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,50700
prettier,prettier,https://github.com/prettier/prettier,48700
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,41700
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,34700
angular,angular-cli,https://github.com/angular/angular-cli,26700
angular,components,https://github.com/angular/components,24200
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,23900
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,23800
wailsapp,wails,https://github.com/wailsapp/wails,23300
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,22800
nrwl,nx,https://github.com/nrwl/nx,22600
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21300
pubkey,rxdb,https://github.com/pubkey/rxdb,20900
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,18000
teambit,bit,https://github.com/teambit/bit,17700
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,17000
